Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081045.254720, 241.000, 4.903, 1181.719
1460081045.254920, 245.500, 4.903, 1203.785
1460081045.255120, 237.000, 4.903, 1162.106
1460081045.255320, 241.000, 4.903, 1181.719
1460081045.255520, 241.000, 4.903, 1181.719
1460081045.255720, 241.000, 4.903, 1181.719
1460081045.255920, 241.000, 4.903, 1181.719
1460081045.256120, 241.000, 4.903, 1181.719
1460081045.256320, 241.000, 4.903, 1181.719
1460081045.256520, 241.000, 4.903, 1181.719
1460081045.256720, 241.500, 4.903, 1184.171
1460081045.256920, 241.000, 4.903, 1181.719
1460081045.257120, 241.000, 4.903, 1181.719
1460081045.257320, 241.500, 4.903, 1184.171
1460081045.257520, 240.000, 4.903, 1176.816
1460081045.257720, 241.500, 4.903, 1184.171
1460081045.257920, 241.500, 4.903, 1184.171
1460081045.258120, 241.500, 4.903, 1184.171
1460081045.258320, 241.000, 4.903, 1181.719
1460081045.258520, 241.000, 4.903, 1181.719
1460081045.258720, 240.500, 4.903, 1179.268
1460081045.258920, 241.000, 4.903, 1181.719
1460081045.259120, 242.500, 4.903, 1189.075
1460081045.259320, 243.500, 4.903, 1193.978
1460081045.259520, 241.500, 4.903, 1184.171
1460081045.259720, 241.500, 4.903, 1184.171
1460081045.259920, 241.000, 4.903, 1181.719
1460081045.260120, 241.000, 4.903, 1181.719
1460081045.260320, 241.000, 4.903, 1181.719
1460081045.260520, 240.500, 4.903, 1179.268
1460081045.260720, 241.000, 4.903, 1181.719
1460081045.260920, 239.500, 4.903, 1174.364
1460081045.261120, 243.500, 4.903, 1193.978
1460081045.261320, 242.500, 4.903, 1189.075
1460081045.261520, 243.000, 4.903, 1191.526
1460081045.261720, 243.000, 4.903, 1191.526
1460081045.261920, 241.500, 4.903, 1184.171
1460081045.262120, 241.500, 4.903, 1184.171
1460081045.262320, 241.000, 4.903, 1181.719
1460081045.262520, 241.000, 4.903, 1181.719
1460081045.262720, 241.000, 4.903, 1181.719
1460081045.262920, 241.000, 4.903, 1181.719
1460081045.263120, 241.500, 4.903, 1184.171
1460081045.263320, 241.500, 4.903, 1184.171
1460081045.263520, 241.000, 4.903, 1181.719
1460081045.263720, 241.000, 4.903, 1181.719
1460081045.263920, 241.000, 4.903, 1181.719
1460081045.264120, 241.500, 4.903, 1184.171
1460081045.264320, 248.000, 4.903, 1216.043
1460081045.264520, 247.000, 4.903, 1211.140
1460081045.264720, 246.500, 4.903, 1208.688
1460081045.264920, 249.000, 4.903, 1220.947
1460081045.265120, 251.500, 4.903, 1233.205
1460081045.265320, 252.000, 4.903, 1235.657
1460081045.265520, 249.000, 4.903, 1220.947
1460081045.265720, 251.000, 4.903, 1230.753
1460081045.265920, 247.500, 4.903, 1213.592
1460081045.266120, 248.000, 4.903, 1216.043
1460081045.266320, 246.500, 4.903, 1208.688
1460081045.266520, 242.500, 4.903, 1189.075
1460081045.266720, 242.000, 4.903, 1186.623
1460081045.266920, 241.500, 4.903, 1184.171
1460081045.267120, 242.000, 4.903, 1186.623
1460081045.267320, 242.500, 4.903, 1189.075
1460081045.267520, 240.500, 4.903, 1179.268
1460081045.267720, 240.500, 4.903, 1179.268
1460081045.267920, 240.000, 4.903, 1176.816
1460081045.268120, 240.000, 4.903, 1176.816
1460081045.268320, 240.500, 4.903, 1179.268
1460081045.268520, 240.000, 4.903, 1176.816
1460081045.268720, 239.500, 4.903, 1174.364
1460081045.268920, 239.500, 4.903, 1174.364
1460081045.269120, 241.500, 4.903, 1184.171
1460081045.269320, 240.000, 4.903, 1176.816
1460081045.269520, 243.000, 4.903, 1191.526
1460081045.269720, 241.500, 4.903, 1184.171
1460081045.269920, 241.500, 4.903, 1184.171
1460081045.270120, 241.000, 4.903, 1181.719
1460081045.270320, 241.000, 4.903, 1181.719
1460081045.270520, 241.000, 4.903, 1181.719
1460081045.270720, 241.000, 4.903, 1181.719
1460081045.270920, 241.000, 4.903, 1181.719
1460081045.271120, 240.500, 4.903, 1179.268
1460081045.271320, 241.000, 4.903, 1181.719
1460081045.271520, 241.000, 4.903, 1181.719
1460081045.271720, 241.500, 4.903, 1184.171
1460081045.271920, 241.000, 4.903, 1181.719
1460081045.272120, 241.000, 4.903, 1181.719
1460081045.272320, 241.000, 4.903, 1181.719
1460081045.272520, 240.500, 4.903, 1179.268
1460081045.272720, 241.500, 4.903, 1184.171
1460081045.272920, 245.000, 4.903, 1201.333
1460081045.273120, 237.500, 4.903, 1164.558
1460081045.273320, 241.000, 4.903, 1181.719
1460081045.273520, 241.500, 4.903, 1184.171
1460081045.273720, 241.500, 4.903, 1184.171
1460081045.273920, 241.500, 4.903, 1184.171
1460081045.274120, 240.000, 4.903, 1176.816
1460081045.274320, 241.500, 4.903, 1184.171
1460081045.274520, 241.500, 4.903, 1184.171
1460081045.274720, 241.000, 4.903, 1181.719
1460081045.274920, 241.000, 4.903, 1181.719
1460081045.275120, 242.500, 4.903, 1189.075
1460081045.275320, 244.000, 4.903, 1196.430
1460081045.275520, 241.500, 4.903, 1184.171
1460081045.275720, 240.500, 4.903, 1179.268
1460081045.275920, 240.500, 4.903, 1179.268
1460081045.276120, 241.000, 4.903, 1181.719
1460081045.276320, 241.000, 4.903, 1181.719
1460081045.276520, 239.500, 4.903, 1174.364
1460081045.276720, 249.500, 4.903, 1223.398
1460081045.276920, 277.000, 4.903, 1358.242
1460081045.277120, 287.000, 4.903, 1407.276
1460081045.277320, 291.500, 4.903, 1429.341
1460081045.277520, 294.500, 4.903, 1444.051
1460081045.277720, 293.000, 4.903, 1436.696
1460081045.277920, 292.500, 4.903, 1434.245
1460081045.278120, 292.500, 4.903, 1434.245
1460081045.278320, 292.000, 4.903, 1431.793
1460081045.278520, 292.500, 4.903, 1434.245
1460081045.278720, 292.500, 4.903, 1434.245
1460081045.278920, 292.000, 4.903, 1431.793
1460081045.279120, 292.500, 4.903, 1434.245
1460081045.279320, 292.000, 4.903, 1431.793
1460081045.279520, 291.500, 4.903, 1429.341
1460081045.279720, 288.500, 4.903, 1414.631
1460081045.279920, 287.000, 4.903, 1407.276
1460081045.280120, 286.500, 4.903, 1404.824
1460081045.280320, 286.000, 4.903, 1402.372
1460081045.280520, 286.500, 4.903, 1404.824
1460081045.280720, 286.000, 4.903, 1402.372
1460081045.280920, 286.000, 4.903, 1402.372
1460081045.281120, 286.500, 4.903, 1404.824
1460081045.281320, 286.000, 4.903, 1402.372
1460081045.281520, 286.500, 4.903, 1404.824
1460081045.281720, 286.000, 4.903, 1402.372
1460081045.281920, 288.500, 4.903, 1414.631
1460081045.282120, 292.000, 4.903, 1431.793
1460081045.282320, 298.500, 4.903, 1463.665
1460081045.282520, 274.500, 4.903, 1345.983
1460081045.282720, 253.500, 4.903, 1243.012
1460081045.282920, 248.000, 4.903, 1216.043
1460081045.283120, 253.500, 4.903, 1243.012
1460081045.283320, 255.000, 4.903, 1250.367
1460081045.283520, 250.500, 4.903, 1228.302
1460081045.283720, 252.000, 4.903, 1235.657
1460081045.283920, 247.000, 4.903, 1211.140
1460081045.284120, 246.500, 4.903, 1208.688
1460081045.284320, 245.500, 4.903, 1203.785
1460081045.284520, 242.000, 4.903, 1186.623
1460081045.284720, 240.000, 4.903, 1176.816
1460081045.284920, 240.500, 4.903, 1179.268
1460081045.285120, 241.500, 4.903, 1184.171
1460081045.285320, 240.500, 4.903, 1179.268
1460081045.285520, 242.000, 4.903, 1186.623
1460081045.285720, 241.000, 4.903, 1181.719
1460081045.285920, 240.000, 4.903, 1176.816
1460081045.286120, 240.000, 4.903, 1176.816
1460081045.286320, 252.500, 4.903, 1238.109
1460081045.286520, 249.000, 4.903, 1220.947
1460081045.286720, 243.000, 4.903, 1191.526
1460081045.286920, 241.500, 4.903, 1184.171
1460081045.287120, 241.000, 4.903, 1181.719
1460081045.287320, 241.000, 4.903, 1181.719
1460081045.287520, 241.000, 4.903, 1181.719
