Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081125.587790, 300.500, 4.872, 1464.006
1460081125.587990, 303.000, 4.872, 1476.186
1460081125.588190, 285.000, 4.872, 1388.492
1460081125.588390, 285.000, 4.872, 1388.492
1460081125.588590, 283.500, 4.872, 1381.184
1460081125.588790, 283.500, 4.872, 1381.184
1460081125.588990, 282.500, 4.872, 1376.312
1460081125.589190, 282.500, 4.872, 1376.312
1460081125.589390, 283.000, 4.872, 1378.748
1460081125.589590, 284.500, 4.872, 1386.056
1460081125.589790, 285.000, 4.872, 1388.492
1460081125.589990, 285.000, 4.872, 1388.492
1460081125.590190, 282.000, 4.872, 1373.876
1460081125.590390, 285.500, 4.872, 1390.927
1460081125.590590, 285.500, 4.872, 1390.927
1460081125.590790, 286.500, 4.872, 1395.799
1460081125.590990, 286.500, 4.872, 1395.799
1460081125.591190, 289.500, 4.872, 1410.415
1460081125.591390, 292.500, 4.872, 1425.031
1460081125.591590, 289.500, 4.872, 1410.415
1460081125.591790, 287.500, 4.872, 1400.671
1460081125.591990, 291.000, 4.872, 1417.723
1460081125.592190, 291.500, 4.872, 1420.159
1460081125.592390, 291.000, 4.872, 1417.723
1460081125.592590, 289.500, 4.872, 1410.415
1460081125.592790, 290.000, 4.872, 1412.851
1460081125.592990, 292.000, 4.872, 1422.595
1460081125.593190, 290.000, 4.872, 1412.851
1460081125.593390, 287.500, 4.872, 1400.671
1460081125.593590, 287.000, 4.872, 1398.235
1460081125.593790, 291.000, 4.872, 1417.723
1460081125.593990, 287.500, 4.872, 1400.671
1460081125.594190, 286.500, 4.872, 1395.799
1460081125.594390, 284.500, 4.872, 1386.056
1460081125.594590, 284.000, 4.872, 1383.620
1460081125.594790, 284.000, 4.872, 1383.620
1460081125.594990, 285.500, 4.872, 1390.927
1460081125.595190, 284.000, 4.872, 1383.620
1460081125.595390, 284.500, 4.872, 1386.056
1460081125.595590, 285.500, 4.872, 1390.927
1460081125.595790, 285.000, 4.872, 1388.492
1460081125.595990, 285.500, 4.872, 1390.927
1460081125.596190, 286.000, 4.872, 1393.363
1460081125.596390, 286.500, 4.872, 1395.799
1460081125.596590, 284.000, 4.872, 1383.620
1460081125.596790, 285.000, 4.872, 1388.492
1460081125.596990, 284.500, 4.872, 1386.056
1460081125.597190, 284.500, 4.872, 1386.056
1460081125.597390, 300.500, 4.872, 1464.006
1460081125.597590, 291.500, 4.872, 1420.159
1460081125.597790, 285.000, 4.872, 1388.492
1460081125.597990, 285.000, 4.872, 1388.492
1460081125.598190, 285.000, 4.872, 1388.492
1460081125.598390, 285.500, 4.872, 1390.927
1460081125.598590, 284.500, 4.872, 1386.056
1460081125.598790, 286.000, 4.872, 1393.363
1460081125.598990, 286.500, 4.872, 1395.799
1460081125.599190, 285.500, 4.872, 1390.927
1460081125.599390, 285.500, 4.872, 1390.927
1460081125.599590, 285.500, 4.872, 1390.927
1460081125.599790, 286.000, 4.872, 1393.363
1460081125.599990, 286.500, 4.872, 1395.799
1460081125.600190, 286.000, 4.872, 1393.363
1460081125.600390, 284.500, 4.872, 1386.056
1460081125.600590, 284.000, 4.872, 1383.620
1460081125.600790, 284.000, 4.872, 1383.620
1460081125.600990, 284.000, 4.872, 1383.620
1460081125.601190, 284.000, 4.872, 1383.620
1460081125.601390, 284.000, 4.872, 1383.620
1460081125.601590, 286.500, 4.872, 1395.799
1460081125.601790, 288.500, 4.872, 1405.543
1460081125.601990, 285.000, 4.872, 1388.492
1460081125.602190, 284.000, 4.872, 1383.620
1460081125.602390, 283.500, 4.872, 1381.184
1460081125.602590, 285.000, 4.872, 1388.492
1460081125.602790, 285.000, 4.872, 1388.492
1460081125.602990, 283.500, 4.872, 1381.184
1460081125.603190, 284.000, 4.872, 1383.620
1460081125.603390, 284.000, 4.872, 1383.620
1460081125.603590, 286.000, 4.872, 1393.363
1460081125.603790, 285.500, 4.872, 1390.927
1460081125.603990, 292.000, 4.872, 1422.595
1460081125.604190, 293.000, 4.872, 1427.467
1460081125.604390, 291.500, 4.872, 1420.159
1460081125.604590, 291.500, 4.872, 1420.159
1460081125.604790, 295.000, 4.872, 1437.211
1460081125.604990, 295.000, 4.872, 1437.211
1460081125.605190, 293.000, 4.872, 1427.467
1460081125.605390, 294.000, 4.872, 1432.339
1460081125.605590, 292.000, 4.872, 1422.595
1460081125.605790, 289.500, 4.872, 1410.415
1460081125.605990, 295.000, 4.872, 1437.211
1460081125.606190, 281.500, 4.872, 1371.440
1460081125.606390, 283.500, 4.872, 1381.184
1460081125.606590, 283.000, 4.872, 1378.748
1460081125.606790, 283.500, 4.872, 1381.184
1460081125.606990, 283.500, 4.872, 1381.184
1460081125.607190, 283.000, 4.872, 1378.748
1460081125.607390, 284.500, 4.872, 1386.056
1460081125.607590, 285.000, 4.872, 1388.492
1460081125.607790, 285.000, 4.872, 1388.492
1460081125.607990, 284.500, 4.872, 1386.056
1460081125.608190, 284.500, 4.872, 1386.056
1460081125.608390, 285.500, 4.872, 1390.927
1460081125.608590, 287.000, 4.872, 1398.235
1460081125.608790, 288.000, 4.872, 1403.107
1460081125.608990, 285.500, 4.872, 1390.927
1460081125.609190, 285.000, 4.872, 1388.492
1460081125.609390, 284.500, 4.872, 1386.056
1460081125.609590, 291.000, 4.872, 1417.723
1460081125.609790, 292.500, 4.872, 1425.031
1460081125.609990, 287.000, 4.872, 1398.235
1460081125.610190, 286.000, 4.872, 1393.363
1460081125.610390, 286.000, 4.872, 1393.363
1460081125.610590, 286.000, 4.872, 1393.363
1460081125.610790, 286.000, 4.872, 1393.363
1460081125.610990, 286.000, 4.872, 1393.363
1460081125.611190, 286.000, 4.872, 1393.363
1460081125.611390, 286.000, 4.872, 1393.363
1460081125.611590, 288.000, 4.872, 1403.107
1460081125.611790, 287.500, 4.872, 1400.671
1460081125.611990, 289.000, 4.872, 1407.979
1460081125.612190, 287.500, 4.872, 1400.671
1460081125.612390, 286.000, 4.872, 1393.363
1460081125.612590, 286.500, 4.872, 1395.799
1460081125.612790, 286.500, 4.872, 1395.799
1460081125.612990, 285.500, 4.872, 1390.927
1460081125.613190, 286.000, 4.872, 1393.363
1460081125.613390, 286.000, 4.872, 1393.363
1460081125.613590, 285.500, 4.872, 1390.927
1460081125.613790, 285.500, 4.872, 1390.927
1460081125.613990, 285.000, 4.872, 1388.492
1460081125.614190, 285.000, 4.872, 1388.492
1460081125.614390, 285.500, 4.872, 1390.927
1460081125.614590, 284.500, 4.872, 1386.056
1460081125.614790, 284.000, 4.872, 1383.620
1460081125.614990, 284.000, 4.872, 1383.620
1460081125.615190, 286.000, 4.872, 1393.363
1460081125.615390, 286.000, 4.872, 1393.363
1460081125.615590, 285.500, 4.872, 1390.927
1460081125.615790, 286.000, 4.872, 1393.363
1460081125.615990, 285.500, 4.872, 1390.927
1460081125.616190, 286.000, 4.872, 1393.363
1460081125.616390, 284.500, 4.872, 1386.056
1460081125.616590, 286.000, 4.872, 1393.363
1460081125.616790, 286.000, 4.872, 1393.363
1460081125.616990, 285.500, 4.872, 1390.927
1460081125.617190, 285.500, 4.872, 1390.927
1460081125.617390, 284.000, 4.872, 1383.620
1460081125.617590, 286.500, 4.872, 1395.799
1460081125.617790, 288.000, 4.872, 1403.107
1460081125.617990, 285.500, 4.872, 1390.927
1460081125.618190, 284.000, 4.872, 1383.620
1460081125.618390, 284.500, 4.872, 1386.056
1460081125.618590, 284.000, 4.872, 1383.620
1460081125.618790, 284.500, 4.872, 1386.056
1460081125.618990, 285.000, 4.872, 1388.492
1460081125.619190, 285.000, 4.872, 1388.492
1460081125.619390, 285.500, 4.872, 1390.927
1460081125.619590, 286.500, 4.872, 1395.799
1460081125.619790, 286.000, 4.872, 1393.363
1460081125.619990, 288.000, 4.872, 1403.107
1460081125.620190, 286.000, 4.872, 1393.363
1460081125.620390, 286.000, 4.872, 1393.363
1460081125.620590, 285.000, 4.872, 1388.492
1460081125.620790, 284.000, 4.872, 1383.620
1460081125.620990, 283.500, 4.872, 1381.184
1460081125.621190, 283.500, 4.872, 1381.184
1460081125.621390, 283.500, 4.872, 1381.184
1460081125.621590, 285.000, 4.872, 1388.492
1460081125.621790, 284.000, 4.872, 1383.620
1460081125.621990, 290.000, 4.872, 1412.851
1460081125.622190, 291.000, 4.872, 1417.723
1460081125.622390, 288.500, 4.872, 1405.543
1460081125.622590, 290.000, 4.872, 1412.851
1460081125.622790, 294.000, 4.872, 1432.339
1460081125.622990, 294.000, 4.872, 1432.339
1460081125.623190, 292.000, 4.872, 1422.595
1460081125.623390, 293.000, 4.872, 1427.467
1460081125.623590, 291.500, 4.872, 1420.159
1460081125.623790, 288.000, 4.872, 1403.107
1460081125.623990, 293.500, 4.872, 1429.903
1460081125.624190, 281.000, 4.872, 1369.004
1460081125.624390, 284.500, 4.872, 1386.056
1460081125.624590, 285.000, 4.872, 1388.492
1460081125.624790, 285.000, 4.872, 1388.492
1460081125.624990, 284.000, 4.872, 1383.620
1460081125.625190, 284.000, 4.872, 1383.620
1460081125.625390, 285.000, 4.872, 1388.492
1460081125.625590, 286.500, 4.872, 1395.799
1460081125.625790, 288.000, 4.872, 1403.107
1460081125.625990, 285.000, 4.872, 1388.492
1460081125.626190, 284.500, 4.872, 1386.056
1460081125.626390, 285.000, 4.872, 1388.492
1460081125.626590, 284.000, 4.872, 1383.620
1460081125.626790, 284.500, 4.872, 1386.056
1460081125.626990, 284.500, 4.872, 1386.056
1460081125.627190, 284.000, 4.872, 1383.620
1460081125.627390, 283.500, 4.872, 1381.184
1460081125.627590, 286.500, 4.872, 1395.799
1460081125.627790, 286.000, 4.872, 1393.363
1460081125.627990, 287.000, 4.872, 1398.235
1460081125.628190, 284.500, 4.872, 1386.056
1460081125.628390, 284.000, 4.872, 1383.620
1460081125.628590, 284.000, 4.872, 1383.620
1460081125.628790, 284.000, 4.872, 1383.620
1460081125.628990, 284.000, 4.872, 1383.620
1460081125.629190, 284.000, 4.872, 1383.620
1460081125.629390, 284.000, 4.872, 1383.620
1460081125.629590, 284.000, 4.872, 1383.620
1460081125.629790, 283.500, 4.872, 1381.184
1460081125.629990, 284.000, 4.872, 1383.620
1460081125.630190, 284.000, 4.872, 1383.620
1460081125.630390, 284.500, 4.872, 1386.056
1460081125.630590, 284.000, 4.872, 1383.620
1460081125.630790, 284.000, 4.872, 1383.620
1460081125.630990, 283.500, 4.872, 1381.184
1460081125.631190, 283.500, 4.872, 1381.184
1460081125.631390, 284.000, 4.872, 1383.620
1460081125.631590, 284.500, 4.872, 1386.056
1460081125.631790, 284.000, 4.872, 1383.620
1460081125.631990, 284.000, 4.872, 1383.620
1460081125.632190, 284.000, 4.872, 1383.620
1460081125.632390, 283.500, 4.872, 1381.184
1460081125.632590, 284.500, 4.872, 1386.056
1460081125.632790, 284.500, 4.872, 1386.056
1460081125.632990, 283.000, 4.872, 1378.748
1460081125.633190, 284.000, 4.872, 1383.620
1460081125.633390, 284.500, 4.872, 1386.056
1460081125.633590, 285.500, 4.872, 1390.927
1460081125.633790, 286.500, 4.872, 1395.799
1460081125.633990, 284.500, 4.872, 1386.056
1460081125.634190, 284.000, 4.872, 1383.620
1460081125.634390, 284.500, 4.872, 1386.056
1460081125.634590, 284.000, 4.872, 1383.620
1460081125.634790, 283.500, 4.872, 1381.184
1460081125.634990, 284.000, 4.872, 1383.620
1460081125.635190, 284.000, 4.872, 1383.620
1460081125.635390, 284.000, 4.872, 1383.620
1460081125.635590, 285.000, 4.872, 1388.492
1460081125.635790, 285.000, 4.872, 1388.492
1460081125.635990, 287.000, 4.872, 1398.235
1460081125.636190, 285.000, 4.872, 1388.492
1460081125.636390, 284.000, 4.872, 1383.620
1460081125.636590, 284.500, 4.872, 1386.056
1460081125.636790, 284.500, 4.872, 1386.056
1460081125.636990, 284.000, 4.872, 1383.620
1460081125.637190, 283.500, 4.872, 1381.184
1460081125.637390, 283.500, 4.872, 1381.184
1460081125.637590, 283.500, 4.872, 1381.184
1460081125.637790, 284.000, 4.872, 1383.620
1460081125.637990, 283.500, 4.872, 1381.184
